source;de;en
Alles aus dem Basis-Paket;Alles aus dem Basis-Paket;Everything in the Basic plan
Schnellere & priorisierte Updates;Schnellere & priorisierte Updates;Faster priority updates
Exklusive Setups & Marktlevels;Exklusive Setups & Marktlevels;Exclusive setups and market levels
Zusätzliche Pro-Informationen;Zusätzliche Pro-Informationen;Additional Pro insights
Die Anfrage war ungültig. Bitte versuchen Sie es erneut.;Die Anfrage war ungültig. Bitte versuchen Sie es erneut.;The request was invalid. Please try again.
Bitte geben Sie eine gültige E-Mail-Adresse ein.;Bitte geben Sie eine gültige E-Mail-Adresse ein.;Please enter a valid email address.
Das Passwort muss mindestens 8 Zeichen lang sein.;Das Passwort muss mindestens 8 Zeichen lang sein.;The password must be at least 8 characters long.
Diese E-Mail ist bereits registriert. Bitte melden Sie sich an. Danach können Sie Ihr Abo im Billing-Bereich starten.;Diese E-Mail ist bereits registriert. Bitte melden Sie sich an. Danach können Sie Ihr Abo im Billing-Bereich starten.;This email address is already registered. Please sign in, then start your subscription in the billing section.
Bitte akzeptieren Sie die AGB und die Datenschutzerklärung.;Bitte akzeptieren Sie die AGB und die Datenschutzerklärung.;Please accept the Terms and Conditions and the Privacy Policy.
Der Account konnte nicht erstellt werden. Bitte versuchen Sie es erneut.;Der Account konnte nicht erstellt werden. Bitte versuchen Sie es erneut.;The account could not be created. Please try again.
Stripe ist technisch noch nicht vollständig eingerichtet.;Stripe ist technisch noch nicht vollständig eingerichtet.;Stripe has not yet been fully set up.
Stripe ist noch nicht vollständig konfiguriert.;Stripe ist noch nicht vollständig konfiguriert.;Stripe has not yet been fully configured.
Der Stripe Secret Key fehlt.;Der Stripe Secret Key fehlt.;The Stripe secret key is missing.
Die Stripe Price ID für das Basis-Abo fehlt.;Die Stripe Price ID für das Basis-Abo fehlt.;The Stripe price ID for the Basic subscription is missing.
Die Stripe Price ID für das Pro-Abo fehlt.;Die Stripe Price ID für das Pro-Abo fehlt.;The Stripe price ID for the Pro subscription is missing.
Die Stripe Price ID für die Trial-Gebühr fehlt.;Die Stripe Price ID für die Trial-Gebühr fehlt.;The Stripe price ID for the trial fee is missing.
Stripe Checkout konnte nicht gestartet werden. Bitte versuchen Sie es erneut.;Stripe Checkout konnte nicht gestartet werden. Bitte versuchen Sie es erneut.;Stripe Checkout could not be started. Please try again.
Der Benutzer konnte nicht ermittelt werden. Bitte melden Sie sich erneut an.;Der Benutzer konnte nicht ermittelt werden. Bitte melden Sie sich erneut an.;The user could not be identified. Please sign in again.
Premium-Analysen 14 Tage testen;Premium-Analysen 14 Tage testen;Try premium analyses for 14 days
für 14 Tage Zugang;für 14 Tage Zugang;for 14 days of access
danach 49,99 € / Monat;danach 49,99 € / Monat;then €49.99 / month
In 2 Minuten freigeschaltet;In 2 Minuten freigeschaltet;Activated in 2 minutes
Sichere Zahlung über Stripe;Sichere Zahlung über Stripe;Secure payment via Stripe
Sofortiger Zugriff;Sofortiger Zugriff;Immediate access
Es ist ein Fehler aufgetreten. Bitte versuchen Sie es erneut.;Es ist ein Fehler aufgetreten. Bitte versuchen Sie es erneut.;An error occurred. Please try again.
Jetzt einloggen;Jetzt einloggen;Sign in now
Premium-Zugang starten;Premium-Zugang starten;Start premium access
Zugangsdaten anlegen. Sicher bezahlen. Direkt starten.;Zugangsdaten anlegen. Sicher bezahlen. Direkt starten.;Create your login details. Pay securely. Start immediately.
E-Mail-Adresse;E-Mail-Adresse;Email address
name@beispiel.de;name@beispiel.de;name@example.com
Passwort;Passwort;Password
Mindestens 8 Zeichen;Mindestens 8 Zeichen;At least 8 characters
Vorname;Vorname;First name
Max;Max;Max
Nachname;Nachname;Last name
Mustermann;Mustermann;Example
Sicher;Sicher;Secure
DSGVO-konform;DSGVO-konform;GDPR-compliant
Kündbar;Kündbar;Cancellable
Jederzeit möglich;Jederzeit möglich;Anytime
Stripe;Stripe;Stripe
Sichere Zahlung;Sichere Zahlung;Secure payment
Ich stimme den;Ich stimme den;I agree to the
AGB;AGB;Terms and Conditions
und der;und der;and the
Datenschutzerklärung;Datenschutzerklärung;Privacy Policy
zu.;zu.;.
Sofortige Freischaltung · jederzeit kündbar · DSGVO-konform;Sofortige Freischaltung · jederzeit kündbar · DSGVO-konform;Immediate activation · cancel anytime · GDPR-compliant
Sichere Zahlung & sofortiger Zugang;Sichere Zahlung & sofortiger Zugang;Secure payment and immediate access
Zahlungsdaten werden ausschließlich über Stripe verarbeitet. Ihr Zugang wird nach erfolgreicher Zahlung automatisch freigeschaltet.;Zahlungsdaten werden ausschließlich über Stripe verarbeitet. Ihr Zugang wird nach erfolgreicher Zahlung automatisch freigeschaltet.;Payment details are processed exclusively by Stripe. Your access is activated automatically after successful payment.
7 Tage gratis;7 Tage gratis;7 days free
Komplettzugang;Komplettzugang;Full access
39 €;39 €;€39
danach 59 € pro Monat;danach 59 € pro Monat;then €59 per month
Echtzeit Marktanalysen;Echtzeit Marktanalysen;Real-time market analyses
Strukturierte Handelssignale;Strukturierte Handelssignale;Structured trading signals
Aktien, Krypto & Forex;Aktien, Krypto & Forex;Stocks, crypto and forex
45 Börsenplätze weltweit;45 Börsenplätze weltweit;45 exchanges worldwide
Tägliche Updates & Alerts;Tägliche Updates & Alerts;Daily updates and alerts
Jederzeit kündbar. Keine Gebühren während des Testzeitraums.;Jederzeit kündbar. Keine Gebühren während des Testzeitraums.;Cancel anytime. No fees during the trial period.
Impressum;Impressum;Legal notice
Datenschutz;Datenschutz;Privacy
